agency_cd,site_no,datetime,tz_cd,water_discharge,00060_00000_cd,gage_height,00065_00000_cd
USGS,1646000,2010-01-01 00:00:00,EST,115.0,A,3.89,A
USGS,1646000,2010-01-01 00:15:00,EST,118.0,A,3.91,A
USGS,1646000,2010-01-01 00:30:00,EST,123.0,A,3.94,A
USGS,1646000,2010-01-01 00:45:00,EST,129.0,A,3.98,A
USGS,1646000,2010-01-01 01:00:00,EST,133.0,A,4.02,A
USGS,1646000,2010-01-01 01:15:00,EST,140.0,A,4.06,A
USGS,1646000,2010-01-01 01:30:00,EST,144.0,A,4.09,A
USGS,1646000,2010-01-01 01:45:00,EST,149.0,A,4.12,A
USGS,1646000,2010-01-01 02:00:00,EST,154.0,A,4.15,A
USGS,1646000,2010-01-01 02:15:00,EST,158.0,A,4.17,A
USGS,1646000,2010-01-01 02:30:00,EST,159.0,A,4.18,A
USGS,1646000,2010-01-01 02:45:00,EST,161.0,A,4.19,A
USGS,1646000,2010-01-01 03:00:00,EST,161.0,A,4.19,A
USGS,1646000,2010-01-01 03:15:00,EST,163.0,A,4.2,A
USGS,1646000,2010-01-01 03:30:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 03:45:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 04:00:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 04:15:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 04:30:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 04:45:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 05:00:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 05:15:00,EST,164.0,A,4.21,A
USGS,1646000,2010-01-01 05:30:00,EST,163.0,A,4.2,A
USGS,1646000,2010-01-01 05:45:00,EST,161.0,A,4.19,A
USGS,1646000,2010-01-01 06:00:00,EST,159.0,A,4.18,A
USGS,1646000,2010-01-01 06:15:00,EST,158.0,A,4.17,A
USGS,1646000,2010-01-01 06:30:00,EST,156.0,A,4.16,A
USGS,1646000,2010-01-01 06:45:00,EST,154.0,A,4.15,A
USGS,1646000,2010-01-01 07:00:00,EST,151.0,A,4.13,A
USGS,1646000,2010-01-01 07:15:00,EST,148.0,A,4.11,A
USGS,1646000,2010-01-01 07:30:00,EST,146.0,A,4.1,A
USGS,1646000,2010-01-01 07:45:00,EST,143.0,A,4.08,A
USGS,1646000,2010-01-01 08:00:00,EST,141.0,A,4.07,A
USGS,1646000,2010-01-01 08:15:00,EST,138.0,A,4.05,A
USGS,1646000,2010-01-01 08:30:00,EST,135.0,A,4.03,A
USGS,1646000,2010-01-01 08:45:00,EST,133.0,A,4.02,A
USGS,1646000,2010-01-01 09:00:00,EST,130.0,A,4.0,A
USGS,1646000,2010-01-01 09:15:00,EST,129.0,A,3.99,A
USGS,1646000,2010-01-01 09:30:00,EST,127.0,A,3.97,A
USGS,1646000,2010-01-01 09:45:00,EST,126.0,A,3.96,A
USGS,1646000,2010-01-01 10:00:00,EST,124.0,A,3.95,A
USGS,1646000,2010-01-01 10:15:00,EST,121.0,A,3.93,A
USGS,1646000,2010-01-01 10:30:00,EST,120.0,A,3.92,A
USGS,1646000,2010-01-01 10:45:00,EST,118.0,A,3.91,A
USGS,1646000,2010-01-01 11:00:00,EST,115.0,A,3.89,A
